"group","post-operative","code","dx","number","admitdiagnosis","admitdxpath","numobs","possible group",
"Trauma",0,"601.03","Head/chest trauma","1","TRHEADCHES","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Head/chest trauma",186,,
"Trauma",0,"601.04","Head/extremity trauma","1","TRHEADEXTR","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Head/extremity trauma",243,,
"Trauma",0,"601.05","Head/face trauma","1","TRHEADFACE","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Head/face trauma",277,,
"Trauma",0,"601.06","Head/multiple trauma","1","TRHEADMULT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Head/multiple trauma",455,,
"Trauma",0,"601.07","Head/pelvis trauma","1","TRHEADPELV","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Head/pelvis trauma",34,,
"Trauma",0,"601.08","Head/spinal trauma","1","TRHEADSPIN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Head/spinal trauma",188,,
"Trauma",0,"602.01","Abdomen only trauma","1","TRAUMABD","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Abdomen only trauma",100,,
"Trauma",0,"602.02","Abdomen/extremity trauma","1","TRABDEXTR","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Abdomen/extremity trauma",43,,
"Trauma",0,"602.03","Abdomen/face trauma","1","TRABDFACE","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Abdomen/face trauma",9,,
"Trauma",0,"602.04","Abdomen/multiple trauma","1","TRABDMULT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Abdomen/multiple trauma",83,,
"Trauma",0,"602.05","Abdomen/pelvis trauma","1","TRABDPELV","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Abdomen/pelvis trauma",28,,
"Trauma",0,"602.06","Chest/abdomen trauma","1","TRCHESTABD","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Chest/abdomen trauma",129,,
"Trauma",0,"602.07","Chest/extremity trauma","1","TRCHESTEXT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Chest/extremity trauma",126,,
"Trauma",0,"602.08","Chest/face trauma","1","TRCHESTFAC","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Chest/face trauma",43,,
"Trauma",0,"602.09","Chest/multiple trauma","1","TRCHESTMUL","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Chest/multiple trauma",223,,
"Trauma",0,"602.10","Chest/pelvis trauma","1","TRCHESTPEL","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Chest/pelvis trauma",26,,
"Trauma",0,"602.11","Chest/thorax trauma","1","TRAUMCHEST","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Chest thorax only trauma",242,,
"Trauma",0,"602.12","Extremity only trauma","1","TRAUMEXTR","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Extremity only trauma",172,,
"Trauma",0,"602.13","Extremity/face trauma","1","TREXTRFACE","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Extremity/face trauma",39,,
"Trauma",0,"602.14","Extremity/multiple trauma","1","TREXTRMULT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Extremity/multiple trauma",65,,
"Trauma",0,"602.15","Face only trauma","1","TRAUMFACE","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Face only trauma",85,,
"Trauma",0,"602.16","Face/multiple trauma","1","TRFACEMULT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Face/multiple trauma",62,,
"Trauma",0,"602.17","Pelvis/extremity trauma","1","TRPELVEXTR","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Pelvis/extremity trauma",40,,
"Trauma",0,"602.18","Pelvis/face trauma","1","TRPELVFACE","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Pelvis/face trauma",4,,
"Trauma",0,"602.19","Pelvis/hip only trauma","1","TRAUMPELV","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Pelvis/hip trauma",73,,
"Trauma",0,"602.20","Pelvis/multiple trauma","1","TRPELVMULT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Pelvis/multiple trauma",46,,
"Trauma",0,"602.21","Trauma medical, other","1","M-TRAUMOTH","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Trauma medical, other",77,,
"Trauma",0,"603.01","Burns","1","BURN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Musculoskeletal/Skin|Burn",174,,"ANZICS addition"
"Trauma",0,"604.01","Abdomen/spinal trauma","1","TRABDSPINE","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Abdomen/spinal trauma",22,,"ANZICS addition"
"Trauma",0,"604.02","Chest/spinal trauma","1","TRCHESTSPI","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Chest/spinal trauma",96,,
"Trauma",0,"604.03","Pelvis/spinal trauma","1","TRPELVSPIN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Pelvis/spinal trauma",22,,
"Trauma",0,"604.04","Spinal/extremity trauma","1","TRSPINEXTR","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Spinal/extremity trauma",71,,
"Trauma",0,"604.05","Spinal/face trauma","1","TRSPINFACE","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Spinal/face trauma",54,,
"Trauma",0,"604.06","Spinal/multiple trauma","1","TRSPINMULT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Spinal/multiple trauma",136,,
"Trauma",0,"605.01","Isolated cervical spine injury","1","TRAUMSPINE","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Spinal cord only trauma",220,,"ANZICS addition"
"Metabolic",0,"701.01","Diabetic hyperglycaemic  hyperosmolar non-ketotic coma (HHNC)","1","DHNKA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Diabetic hyperglycemic hyperosmolar nonketotic coma (HHNC)",467,,
"Metabolic",0,"701.02","Encephalopathies (excluding hepatic)","1","ENCEPHALOP","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Encephalopathies (excluding hepatic)",507,,
"Metabolic",0,"702.01","Diabetic ketoacidosis","1","DKA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Diabetic ketoacidosis",4682,,
"Metabolic",0,"703.01","Alcoholic withdrawal","1","ETOHWITHD","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Alcohol withdrawal",266,,
"Metabolic",0,"703.02","Drug withdrawal","1","DRUGWITHD","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Drug withdrawal",1064,,
"Metabolic",0,"703.03","Overdose, self inflicted","1","ODALCOH","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Overdose, alcohols (bethanol, methanol, ethylene glycol)",621,,"there are 6 categories for this in eICU"
"Metabolic",0,"703.03","Overdose, self inflicted","2","ODANALG","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Overdose, analgesic (aspirin, acetaminophen)",584,,
"Metabolic",0,"703.03","Overdose, self inflicted","3","ODDEPRES","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Overdose, antidepressants (cyclic, lithium)",365,,
"Metabolic",0,"703.03","Overdose, self inflicted","4","ODOTHER","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Overdose, other toxin, poison or drug",895,,
"Metabolic",0,"703.03","Overdose, self inflicted","5","ODSEDHYP","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Overdose, sedatives, hypnotics, antipsychotics, benzodiazepines",1504,,
"Metabolic",0,"703.03","Overdose, self inflicted","6","ODSTREET","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Overdose, street drugs (opiates, cocaine, amphetamine)",1010,,
"Metabolic",0,"704.01","Acid-Base electrolyte disturbance","1","ACIDBASE","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Acid-base/electrolyte disturbance",1490,,
"Metabolic",0,"704.02","Addisons disease/Hypoadrenal crisis","1","ADDISON","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Addisons disease",14,,
"Metabolic",0,"704.03","Cushing's Syndrome/Disease","1","CUSHING",,,,"ANZICS addition – we have invented this diagnosis code"
"Metabolic",0,"704.04","Heat exhaustion/stroke","1","HEATSTROKE","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Heat exhaustion/stroke",22,,
"Metabolic",0,"704.05","Hyperthermia","1","HYPERTHERM","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Hyperthermia",13,,
"Metabolic",0,"704.06","Hyperthyroid storm/crisis","1","HYPERSTORM","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Hyperthyroid storm/crisis",31,,
"Metabolic",0,"704.07","Hypoglycaemia","1","HYPOGLYCEM","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Hypoglycemia",484,,
"Metabolic",0,"704.08","Hypothermia","1","HYPOTHERM","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Hypothermia",77,,
"Metabolic",0,"704.09","Hypothyroid/Myxedema","1","HYPOTHYMYX","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Hypothyroid/myxedema",22,,
"Metabolic",0,"704.10","Metabolic/Endocrine medical, other","1","M-MENOTHER","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Metabolic/endocrine medical, other",210,,
"Metabolic",0,"704.11","Thyroid neoplasm","1","THYROIDNEO","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Thyroid neoplasm",1,,
"Hematological",0,"801.01","Coagulopathy","1","COAGULOP","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Coagulopathy",140,,
"Hematological",0,"801.02","Neutropaenia","1","NEUTROPEN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Neutropenia",41,,
"Hematological",0,"801.03","Pancytopaenia","1","PANCYTOPEN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Pancytopenia",40,,
"Hematological",0,"801.04","Thrombocytopaenia","1","THROMBOCYT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Thrombocytopenia",76,,
"Hematological",0,"802.01","Anaemia","1","ANEMIA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Anemia",625,,
"Hematological",0,"802.02","Blood transfusion reaction","1","BLOODREACT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Blood transfusion reaction",25,,
"Hematological",0,"802.03","Leukaemia; ALL","1","ALL","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Leukemia, acute lymphocytic",23,,
"Hematological",0,"802.04","Leukaemia; AML","1","AML","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Leukemia, acute myelocytic",27,,
"Hematological",0,"802.05","Leukaemia; CLL","1","CLL","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Leukemia, chronic lymphocytic",5,,
"Hematological",0,"802.06","Leukaemia; CML","1","CML","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Leukemia, chronic myelocytic",3,,
"Hematological",0,"802.07","Lymphoma, Hodgkins","1","HODGKINLYM","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Lymphoma, Hodgkins",2,,
"Hematological",0,"802.08","Lymphoma, non-Hodgkins","1","NONHODGLYM","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Lymphoma, non-Hodgkins",22,,
"Hematological",0,"802.09","Sickle cell crisis","1","SICKLECELL","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Sickle cell crisis",49,,
"Renal/Genitourinary",0,"901.01","Genitourinary medical, other","1","M-GUOTHER","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Genitourinary|Genitourinary medical, other",149,,
"Renal/Genitourinary",0,"901.02","Renal bleeding","1","RENALBLEED","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Genitourinary|Renal bleeding",71,,
"Renal/Genitourinary",0,"901.03","Renal failure, acute","1","ARENFAIL","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Genitourinary|Renal failure, acute",2204,,
"Renal/Genitourinary",0,"901.04","Renal infection/abscess","1","RENINFX","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Genitourinary|Renal infection/abscess",165,,
"Renal/Genitourinary",0,"901.05","Renal neoplasm, cancer","1","RENALNEO","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Genitourinary|Renal neoplasm, cancer",22,,
"Renal/Genitourinary",0,"901.06","Renal obstruction","1","RENALOBST","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Genitourinary|Renal obstruction",85,,
"Renal/Genitourinary",0,"901.07","Kidney transplant","1","KIDNEYTRAN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Transplant|Kidney transplant",4,,
"Renal/Genitourinary",0,"902.01","Pre-eclampsia/Eclampsia (female only)","1","PRE-ECLAMP","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Genitourinary|Pre-eclampsia/eclampsia",149,,
"Renal/Genitourinary",0,"903.01","Haemorrhage, postpartum (female only)","1","POSTPARHEM","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Genitourinary|Hemorrhage, postpartum",38,,
"Other medical disorders",0,"1002.01","Other medical disorders","1","OTHMEDICAL",,,,"ANZICS addition – we have invented this diagnosis code"
"Muscoskeletal/Skin disease",0,"1101.01","Arthritis, rheumatoid","1","RHARTHRIT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Musculoskeletal/Skin|Arthritis, rheumatoid",3,,
"Muscoskeletal/Skin disease",0,"1101.02","Arthritis, septic","1","SEPARTHRIT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Musculoskeletal/Skin|Arthritis, septic",12,,
"Muscoskeletal/Skin disease",0,"1101.03","Connective tissue disease (mixed)","1","MIXEDCTDIS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Musculoskeletal/Skin|Connective tissue disease (mixed)",4,,
"Muscoskeletal/Skin disease",0,"1101.04","Musculoskeletal medical, other","1","M-MUSOTHER","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Musculoskeletal/Skin|Musculoskeletal medical, other",73,,
"Muscoskeletal/Skin disease",0,"1101.05","Lupus, systemic","1","SYSTLUPUS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Musculoskeletal/Skin|Lupus, systemic",4,,
"Muscoskeletal/Skin disease",0,"1101.06","Myositis, viral","1","VIRALMYOSI","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Musculoskeletal/Skin|Myositis, viral",1,,
"Muscoskeletal/Skin disease",0,"1101.07","Rhabdomyolysis without acute renal failure","1","RHABDOMYO","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Musculoskeletal/Skin|Rhabdomyolysis",79,,
"Muscoskeletal/Skin disease",0,"1101.08","Scleroderma","1","SCLERODERM","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Musculoskeletal/Skin|Scleroderma",0,,
"Muscoskeletal/Skin disease",0,"1101.09","Vasculitis","1","VASCULITIS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Musculoskeletal/Skin|Vasculitis",4,,
"Muscoskeletal/Skin disease",0,"1102.01","Cellulitis and localized soft tissue infections","1","CELLULITIS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Musculoskeletal/Skin|Cellulitis and localized soft tissue infections",414,,
"Cardiovascular",1,"1202.01","Dilation (with general anaesthesia)","1","S-DILWANES","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Dilatation (with general anesthesia)",10,,
"Cardiovascular",1,"1202.02","Dilation (without general anaesthesia)","1","S-DILWOANE","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Dilatation (without general anesthesia)",6,,
"Cardiovascular",1,"1202.03","Embolectomy (with general anaesthesia)","1","S-EMBWANES","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Embolectomy (with general anesthesia)",116,,
"Cardiovascular",1,"1202.04","Embolectomy (without general anaesthesia)","1","S-EMBWOANE","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Embolectomy (without general anesthesia)",20,,
"Cardiovascular",1,"1202.05","Grafts, all other bypass (except renal)","1","S-OTHGRAFT","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Graft, all other bypass (except renal)",168,,
"Cardiovascular",1,"1202.06","Grafts, all renal bypass","1","S-RENGRAFT","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Graft, all renal bypass",6,,
"Cardiovascular",1,"1202.07","Thrombectomy (with general anaesthesia)","1","S-THROMBWA","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Thrombectomy (with general anesthesia)",207,,
"Cardiovascular",1,"1202.08","Thrombectomy (without general anaesthesia)","1","S-THROMWOA","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Thrombectomy (without general anesthesia)",37,,
"Cardiovascular",1,"1203.01","Graft, aorto-iliac bypass","1","S-AILGRAFT","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Graft, aorto-iliac bypass",25,,
"Cardiovascular",1,"1203.02","Graft, femoral-popliteal bypass","1","S-FEMPGRAF","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Graft, femoral-popliteal bypass",332,,
"Cardiovascular",1,"1204.01","Aneurysm, abdominal aortic","1","S-AAANEUR","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Aneurysm, abdominal aortic",667,,
"Cardiovascular",1,"1204.02","Aneurysm, thoracic","1","S-TAANEUR","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Aneurysm, thoracic aortic",236,,
"Cardiovascular",1,"1205.01","Endarterectomy, carotid","1","S-CAROTEND","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Endarterectomy, carotid",1703,,
"Cardiovascular",1,"1206.01","Valve, double; repair/replacement","1","S-VALVAM","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Aortic and Mitral valve replacement",0,,"ANZICS Addition. Sub-categories won’t map well, but collapsing to hierarchy (1206) should work"
"Cardiovascular",1,"1206.02","Valve, redo, single","1","S-VALVSINGLE",,,,"ANZICS addition – we have invented this diagnosis code"
"Cardiovascular",1,"1206.03","Valve, single; repair/replacement","1","S-VALVAO","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Aortic valve replacement (isolated)",0,,
"Cardiovascular",1,"1206.03","Valve, single; repair/replacement",2,"S-VALVMI","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Mitral valve replacement",0,,
"Cardiovascular",1,"1206.03","Valve, single; repair/replacement",3,"S-VALVMR","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Mitral valve repair",0,,
"Cardiovascular",1,"1206.03","Valve, single; repair/replacement",4,"S-VALVPULM","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Pulmonary valve surgery",0,,
"Cardiovascular",1,"1206.03","Valve, single; repair/replacement",5,"S-VALVTRI","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Tricuspid valve surgery",0,,
"Cardiovascular",1,"1206.05","Valve, triple, repair/replacement","1","S-VALVTRIPLE",,,,"ANZICS addition – we have invented this diagnosis code"
"Cardiovascular",1,"1207.01","CABG alone, coronary artery bypass grafting","1","S-CABG","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|CABG alone, coronary artery bypass grafting",4460,,"ANZICS addition"
"Cardiovascular",1,"1207.02","CABG alone, redo","1","S-CABGREDO","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|CABG alone, redo",128,,
"Cardiovascular",1,"1207.03","CABG with other operation (not valve repair/replacement)","1","S-CABGWOTH","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|CABG with other operation",156,,
"Cardiovascular",1,"1208.01","Ablation or mapping of cardiac conduction pathway","1","S-CONDXMAP","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Ablation or mapping of cardiac conduction pathway",277,,
"Cardiovascular",1,"1208.02","Aneurysm repair, ventricular","1","S-VENANEUR","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Aneurysm repair, ventricular",9,,
"Cardiovascular",1,"1208.03","Aneurysms, repair of other (except ventricular)","1","S-OTHANEUR","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Aneurysms, repair of other (except ventricular)",172,,
"Cardiovascular",1,"1208.04","Anomaly, cardiac congenital (e.g. atrial septal defect, ventricular septal defect, Tetralogy of Fallot)","1","S-CARCONG","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Congenital Defect Repair (Other)",20,,"multiple matches"
"Cardiovascular",1,"1208.04","Anomaly, cardiac congenital (e.g. atrial septal defect, ventricular septal defect, Tetralogy of Fallot)","2","S-CARDASD","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Atrial Septal Defect (ASD) Repair",27,,
"Cardiovascular",1,"1208.04","Anomaly, cardiac congenital (e.g. atrial septal defect, ventricular septal defect, Tetralogy of Fallot)","3","S-CARDVSD","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Ventricular Septal Defect (VSD) Repair",6,,
"Cardiovascular",1,"1208.05","CABG, Minimally invasive; Mid-CABG","1","S-CABGMINI","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|CABG, minimally invasive; mid-CABG",30,,
"Cardiovascular",1,"1208.06","Cardiovascular surgery, other","1","S-CAROTHER","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Cardiovascular surgery, other",330,,
"Cardiovascular",1,"1208.07","Complications of previous peripheral vascular surgery","1","S-VASCOMPL","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Complications of prev. peripheral vasc. surgery,surgery for (i.e.ligation of bleeder, exploration and evacuation of hematoma, debridement, pseudoaneurysms, clots, fistula, etc.)",98,,
"Cardiovascular",1,"1208.08","Complications of previous open-heart surgery, surgery for (e.g. bleeding, infection, mediastinal rewire)","1","S-CARDCOMP","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Complications of previous open-heart surgery, surgery for (i.e. bleeding, infection, mediastinal rewiring,leaking aortic graft etc.)",95,,
"Cardiovascular",1,"1208.09","Defibrillator, automatic implantable cardiac; insertion of","1","S-AICD","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Defibrillator, automatic implantable cardiac; insertion of",92,,
"Cardiovascular",1,"1208.10","Endarterectomy (other vessels)","1","S-ENDOTHER","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Endarterectomy (other vessels)",208,,
"Cardiovascular",1,"1208.11","Graft for dialysis, insertion of","1","S-DIALGRAF","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Graft for dialysis, insertion of",60,,
"Cardiovascular",1,"1208.12","Grafts, removal of infected vascular","1","S-REMGRAFT","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Graft, removal of infected vascular",25,,
"Cardiovascular",1,"1208.13","Pericardial effusion/tamponade","1","S-PERIEFFU","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Pericardial effusion/tamponade",172,,
"Cardiovascular",1,"1208.14","Pericardiectomy (total/subtotal)","1","S-PERICARD","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Pericardiectomy (total/subtotal)",34,,
"Cardiovascular",1,"1208.15","Tumour removal, intracardiac","1","S-CVTUMOR","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Tumor removal, intracardiac",37,,
"Cardiovascular",1,"1208.16","Vascular surgery, other","1","S-VASOTHER","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Vascular surgery, other",277,,
"Cardiovascular",1,"1208.17","Vena cava clipping","1","S-VENACLIP","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Vena cava clipping",2,,
"Cardiovascular",1,"1208.18","Vena cava filer insertion","1","S-VENAFILT","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Vena cava filter insertion",8,,
"Cardiovascular",1,"1209.01","Aneurysm, abdominal aortic; with dissection","1","S-AAANEUDI","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Aneurysm, abdominal aortic; with dissection",75,,
"Cardiovascular",1,"1209.02","Aneurysm, thoracic aortic; with dissection","1","S-TAANEUDI","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Aneurysm, thoracic aortic; with dissection",134,,
"Cardiovascular",1,"1210.01","Aneurysm, abdominal aortic; with rupture","1","S-AAANEUUP","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Aneurysm, abdominal aortic; with rupture",80,,
"Cardiovascular",1,"1210.02","Aneurysm, thoracic aortic; with rupture","1","S-TAANEURU","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Aneurysm, thoracic aortic; with rupture",11,,
"Cardiovascular",1,"1211.01","Graft, aorto-femoral bypass","1","S-AFEMGRAF","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Graft, aorto-femoral bypass",195,,
"Cardiovascular",1,"1211.02","Graft, femoral-femoral bypass","1","S-FEMFGRAF","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|Graft, femoral-femoral bypass",115,,
"Cardiovascular",1,"1212.01","CABG redo with valve repair/replacement","1","S-CABREVAL","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|CABG redo with valve repair/replacement",132,,
"Cardiovascular",1,"1212.01","CABG redo with valve repair/replacement","2","S-CABGROTH","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|CABG redo with other operation",0,,
"Cardiovascular",1,"1212.02","CABG with double valve repair/replacement","1","S-CABGDVAL","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|CABG with double valve repair/replacement",65,,
"Cardiovascular",1,"1212.03","CABG with single valve repair/replacement","1","S-CABGAOV","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|CABG with aortic valve replacement",0,,
"Cardiovascular",1,"1212.03","CABG with single valve repair/replacement","2","S-CABGMIV","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|CABG with mitral valve replacement",0,,
"Cardiovascular",1,"1212.03","CABG with single valve repair/replacement","3","S-CABGMVR","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|CABG with mitral valve repair",0,,
"Cardiovascular",1,"1212.03","CABG with single valve repair/replacement","4","S-CABGVALV","admission diagnosis|All Diagnosis|Operative|Diagnosis|Cardiovascular|CABG with pulmonic or tricuspid valve repair or replacement ONLY.",0,,
"Cardiovascular",1,"1213.01","Aneurysm, abdominal aortic endoluminal repair","1","S-AAAENDOLU",,,,"ANZICS addition – we have invented this diagnosis code"
